# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_900636855.1	PRJEB6403	SAMEA3881057	NA	na	24	24	Shewanella putrefaciens	strain=NCTC10737	NA	latest	Complete Genome	Major	Full	2018-12-20	44858_H01	SC	GCF_900636855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/855/GCA_900636855.1_44858_H01	NA	NA
GCA_000012685.1	PRJNA1421	SAMN02604018	NA	representative genome	246197	34	Myxococcus xanthus DK 1622	strain=DK 1622	NA	latest	Complete Genome	Major	Full	2006-06-07	ASM1268v1	TIGR	GCF_000012685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/685/GCA_000012685.1_ASM1268v1	NA	NA
GCA_006400955.1	PRJNA342411	SAMN05757018	NA	na	34	34	Myxococcus xanthus	strain=GH3.5.6c2	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640095v1	ETH Zurich	GCF_006400955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/400/955/GCA_006400955.1_ASM640095v1	NA	NA
GCA_006401215.1	PRJNA342411	SAMN05757019	NA	na	34	34	Myxococcus xanthus	strain=GH5.1.9c20	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640121v1	ETH Zurich	GCF_006401215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/401/215/GCA_006401215.1_ASM640121v1	NA	NA
GCA_006401635.1	PRJNA342411	SAMN05757020	NA	na	34	34	Myxococcus xanthus	strain=KF3.2.8c11	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640163v1	ETH Zurich	GCF_006401635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/401/635/GCA_006401635.1_ASM640163v1	NA	NA
GCA_006402015.1	PRJNA342411	SAMN05757021	NA	na	34	34	Myxococcus xanthus	strain=KF4.3.9c1	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640201v1	ETH Zurich	GCF_006402015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/015/GCA_006402015.1_ASM640201v1	NA	NA
GCA_006402415.1	PRJNA342411	SAMN05757022	NA	na	34	34	Myxococcus xanthus	strain=MC3.3.5c16	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640241v1	ETH Zurich	GCF_006402415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/415/GCA_006402415.1_ASM640241v1	NA	NA
GCA_006402735.1	PRJNA342411	SAMN05757023	NA	na	34	34	Myxococcus xanthus	strain=MC3.5.9c15	NA	latest	Complete Genome	Major	Full	2019-06-24	ASM640273v1	ETH Zurich	GCF_006402735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/402/735/GCA_006402735.1_ASM640273v1	NA	NA
GCA_000219105.1	PRJNA27837	SAMN02603152	NA	na	35	35	Corallococcus macrosporus	strain=HW-1	NA	latest	Complete Genome	Major	Full	2011-06-22	ASM21910v1	College of Life Science, Shandong University	GCF_000219105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/105/GCA_000219105.1_ASM21910v1	NA	NA
GCA_002305895.1	PRJNA186904	SAMN06167052	NA	representative genome	1189310	35	Myxococcus macrosporus DSM 14697	strain=DSM 14697	NA	latest	Complete Genome	Major	Full	2017-09-15	ASM230589v1	Max Planck Institute for Terrestrial Microbiology	GCF_002305895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/895/GCA_002305895.1_ASM230589v1	NA	assembly from type material
GCA_000165485.1	PRJNA52561	SAMN02603592	NA	representative genome	378806	41	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	NA	latest	Complete Genome	Major	Full	2010-10-21	ASM16548v1	Max Planck Institute for Terrestrial Microbiology	GCF_000165485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/485/GCA_000165485.1_ASM16548v1	NA	NA
GCA_002305875.1	PRJNA358170	SAMN06167122	NA	representative genome	43	43	Cystobacter fuscus	strain=DSM 52655	NA	latest	Complete Genome	Major	Full	2017-09-15	ASM230587v1	Max-Planck Institute for terrestrial Microbiology	GCF_002305875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/875/GCA_002305875.1_ASM230587v1	NA	NA
GCA_001027285.1	PRJNA283574	SAMN03704078	NA	representative genome	48	48	Archangium gephyra	strain=DSM 2261	NA	latest	Complete Genome	Major	Full	2015-06-03	ASM102728v1	Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India	GCF_001027285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/285/GCA_001027285.1_ASM102728v1	NA	assembly from type material
GCA_001189295.1	PRJNA283496	SAMN03651481	NA	representative genome	52	52	Chondromyces crocatus	strain=Cm c5	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118929v1	Helmholtz Centre for Infection Research	GCF_001189295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/295/GCA_001189295.1_ASM118929v1	NA	assembly from type material
GCA_000067165.1	PRJNA28111	SAMEA3138271	NA	representative genome	448385	56	Sorangium cellulosum So ce56	strain=So ce 56	NA	latest	Complete Genome	Major	Full	2007-11-27	ASM6716v1	Bielefeld Univ	GCF_000067165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/165/GCA_000067165.1_ASM6716v1	NA	NA
GCA_000418325.1	PRJNA179502	SAMN02603858	NA	na	1254432	56	Sorangium cellulosum So0157-2	strain=So0157-2	NA	latest	Complete Genome	Major	Full	2013-07-05	ASM41832v1	Shandong University	GCF_000418325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/325/GCA_000418325.1_ASM41832v1	NA	NA
GCA_002950945.1	PRJNA294368	SAMN04024946	NA	na	56	56	Sorangium cellulosum	strain=So ce26	NA	latest	Complete Genome	Major	Full	2018-02-02	ASM295094v1	Helmholtz Centre for Infection Research	GCF_002950945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/950/945/GCA_002950945.1_ASM295094v1	NA	NA
GCA_004135735.1	PRJNA294370	SAMN04024947	NA	na	56	56	Sorangium cellulosum	strain=So ceGT47	NA	latest	Complete Genome	Major	Full	2019-02-04	ASM413573v1	Helmholtz Centre for Infection Research	GCF_004135735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/735/GCA_004135735.1_ASM413573v1	NA	NA
GCA_004135755.1	PRJNA294371	SAMN04025228	NA	na	56	56	Sorangium cellulosum	strain=So ce836	NA	latest	Complete Genome	Major	Full	2019-02-04	ASM413575v1	Helmholtz Centre for Infection Research	GCF_004135755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/755/GCA_004135755.1_ASM413575v1	NA	NA
GCA_002222655.1	PRJNA392993	SAMN07313362	NA	representative genome	63	63	Vitreoscilla filiformis	strain=ATCC 15551	NA	latest	Complete Genome	Major	Full	2017-07-20	ASM222265v1	L'Oreal	GCF_002222655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/655/GCA_002222655.1_ASM222265v1	NA	NA
GCA_002355975.1	PRJDB3483	SAMD00025316	NA	na	69	69	Lysobacter enzymogenes	strain=M497-1	NA	latest	Complete Genome	Major	Full	2016-11-25	ASM235597v1	Japan Agency for Marine-Earth Science and Technology	GCF_002355975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/975/GCA_002355975.1_ASM235597v1	NA	NA
GCA_005954665.1	PRJNA543628	SAMN11774060	NA	representative genome	69	69	Lysobacter enzymogenes	strain=YC36	NA	latest	Complete Genome	Major	Full	2019-06-04	ASM595466v1	Ocean University of China	GCF_005954665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/954/665/GCA_005954665.1_ASM595466v1	NA	NA
GCA_002951835.1	PRJNA361301	SAMN06230011	NA	representative genome	641147	72	Simonsiella muelleri ATCC 29453	strain=ATCC 29453	NA	latest	Complete Genome	Major	Full	2018-02-02	ASM295183v1	INRS-Institut Armand Frappier	GCF_002951835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/835/GCA_002951835.1_ASM295183v1	NA	assembly from type material
GCA_006738645.1	PRJDB8069	SAMD00165212	NA	representative genome	94	94	Stella humosa	strain=ATCC 43930	NA	latest	Complete Genome	Major	Full	2019-06-03	ASM673864v1	Riken, BDR	GCF_006738645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/738/645/GCA_006738645.1_ASM673864v1	NA	assembly from type material
GCA_000222485.1	PRJNA51773	SAMN02261369	NA	representative genome	880070	104	Cyclobacterium marinum DSM 745	strain=DSM 745	NA	latest	Complete Genome	Major	Full	2011-08-03	ASM22248v1	JGI	GCF_000222485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/485/GCA_000222485.1_ASM22248v1	NA	assembly from type material
GCA_003149495.1	PRJNA429867	SAMN08361974	NA	na	114	114	Gemmata obscuriglobus	strain=DSM 5831	NA	latest	Complete Genome	Major	Full	2018-05-23	ASM314949v1	Creighton University	GCF_003149495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/495/GCA_003149495.1_ASM314949v1	NA	assembly from type material
GCA_008065095.1	PRJNA485700	SAMN10980026	NA	representative genome	114	114	Gemmata obscuriglobus	strain=DSM 5831	NA	latest	Complete Genome	Major	Full	2019-08-22	ASM806509v1	Radboud Universiteit Nijmegen	GCF_008065095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/095/GCA_008065095.1_ASM806509v1	NA	assembly from type material
GCA_000165715.3	PRJNA47863	SAMN00103628	NA	representative genome	756272	119	Rubinisphaera brasiliensis DSM 5305	strain=DSM 5305	NA	latest	Complete Genome	Major	Full	2011-03-01	ASM16571v3	US DOE Joint Genome Institute (JGI-PGF)	GCF_000165715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3	NA	assembly from type material
GCA_000092105.1	PRJNA29411	SAMN02598463	NA	representative genome	521674	120	Planctopirus limnophila DSM 3776	strain=DSM 3776	NA	latest	Complete Genome	Major	Full	2010-05-13	ASM9210v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/105/GCA_000092105.1_ASM9210v1	NA	assembly from type material
